name,source,gender,wikidata,type
"Allée de la Fontaine de Trévi",wikidata,-,Q185382,way
"Allée de la Gravière",wikidata,-,Q504874,way
"Allée des Bruyères",wikidata,-,Q206998,way
"Allée des Pins",wikidata,-,Q12024,way
"Allée des Platanes",wikidata,-,Q163025,way
"Allée des Roses",wikidata,-,Q34687,way
"Allée du Laxia",wikidata,-,Q3219945,way
"Allée du Moulin de Saint-Bernard",wikidata,-,Q28192811,way
"Allées Marines",wikidata,-,Q207366,way
"Avenue de Cam de Prats",wikidata,-,Q20492247,way
"Avenue de Pampelune",wikidata,-,Q10282,way
"Avenue de l'Aquitaine",wikidata,-,Q1179,way
"Avenue de l'Iparla",wikidata,-,Q3154189,way
"Avenue de l'Ursuya",wikidata,-,Q3322163,way
"Avenue de la Citadelle",wikidata,-,Q12254690,way
"Avenue de la Rhune",wikidata,-,Q2737839,way
"Avenue des Arènes",wikidata,-,Q2866138,way
"Avenue des Castors",wikidata,-,Q2941499,way
"Avenue des Fleurs",wikidata,-,Q506,way
"Avenue des Lauriers",wikidata,-,Q21188,way
"Avenue des Pyrénées",wikidata,-,Q12431,way
"Avenue du 11 Novembre 1918",wikidata,-,Q253224,way
"Avenue du 8 Mai 1945",wikidata,-,Q622365,way
"Avenue du Baigura",wikidata,-,Q3321695,way
"Avenue du Béarn",wikidata,-,Q213763,way
"Avenue du Mondarrain",wikidata,-,Q3320487,way
"Avenue du Polo",wikidata,-,Q106581364,way
"Boulevard Alsace-Lorraine",wikidata,-,Q155144,way
"Boulevard d'Aritxague",wikidata,-,Q95611356,way
"Chemin de Mousserolles",wikidata,-,Q20492452,way
"Chemin des Barthes",wikidata,-,Q2885928,way
"Chemin des Hêtres",wikidata,-,Q25403,way
"Chemin du Moulin de Bacheforès",wikidata,-,Q28177228,way
"Esplanade de Verdun",wikidata,-,Q130847,way
"Esplanade de l'Échauguette",wikidata,-,Q729998,way
"Impasse de la Faïencerie",wikidata,-,Q3067776,way
"Impasse des Joncs",wikidata,-,Q1322131,way
"Parc de Stationnement de Mousserolles",wikidata,-,Q20492452,way
"Parc de Stationnement des Glacis",wikidata,-,Q948008,way
"Parvis des Anciens Combattants",wikidata,-,Q193891,way
"Passage de la Feria",wikidata,-,Q16023945,way
"Passage des Cacolets",wikidata,-,Q2932563,way
"Passage des Carmélites",wikidata,-,Q186277,way
"Place Pereire",wikidata,-,Q286386,way
"Place de l'Arsenal",wikidata,-,Q81669,way
"Place de la Paix",wikidata,-,Q454,way
"Place de la Porte d'Espagne",wikidata,-,Q17486665,way
"Place des Basques",wikidata,-,Q126756,way
"Place des Gascons",wikidata,-,Q3098704,way
"Place du Château Vieux",wikidata,-,Q12258310,way
"Place du Réduit",wikidata,-,Q90747,way
"Pont Blanc",wikidata,-,Q278165,way
"Pont Saint-Esprit",wikidata,-,Q3462122,way
"Pont du Génie",wikidata,-,Q158797,way
"Pont du Labourd",wikidata,-,Q671023,way
"Quai de Montevideo",wikidata,-,Q1335,way
"Rond-Point du Seignanx",wikidata,-,Q3477802,way
"Route du Travail",wikidata,-,Q192581,way
"Rue d'Espagne",wikidata,-,Q29,way
"Rue de Gramont",wikidata,-,Q16021383,way
"Rue de l'Adour",wikidata,-,Q207366,way
"Rue de la Gabarre",wikidata,-,Q2304313,way
"Rue de la Galupe",wikidata,-,Q3094871,way
"Rue de la Pibale",wikidata,-,Q1529341,way
"Rue de la Vigne",wikidata,-,Q191019,way
