name,source,gender,wikidata,type
"Allée André Feuillerat",,,,way
"Allée Bernal",,,,way
"Allée Cavalière",,,,way
"Allée César Franck",,,,way
"Allée Charles Docteur",,,,way
"Allée Edmond Leroy",,,,way
"Allée Fontaine de Crouts",,,,way
"Allée Fontaine de Lartigaou",,,,way
"Allée Fontaine des Anges",,,,way
"Allée Jacqueline Broca",,,,way
"Allée Jean-Claude Guérobé",,,,way
"Allée Lacoustille",,,,way
"Allée Le Téoule",,,,way
"Allée Mari-Martin",,,,relation
"Allée Miradour",,,,way
"Allée Porteteny",,,,way
"Allée Rose des Vents",,,,way
"Allée Saute-Ruisseau",,,,way
"Allée Syringa",,,,way
"Allée d'Ahusqui",,,,way
"Allée d'Armanet",,,,way
"Allée d'Osteys",,,,way
"Allée de Biarnès",,,,way
"Allée de Brocq",,,,way
"Allée de Caradoc",,,,way
"Allée de Chirroy",,,,way
"Allée de Chouhour",,,,way
"Allée de Constantin",,,,way
"Allée de Gibéléou",,,,way
"Allée de Glain",,,,way
"Allée de Gouran",,,,way
"Allée de Grande Borde",,,,way
"Allée de Haou",,,,way
"Allée de Harriet",,,,way
"Allée de Huire",,,,way
"Allée de Lacay",,,,way
"Allée de Lalanne",,,,way
"Allée de Laplane",,,,way
"Allée de Lartigot",,,,way
"Allée de Lestang",,,,way
"Allée de Ligny",,,,way
"Allée de Montplaisir",,,,way
"Allée de Niert",,,,way
"Allée de Passenabe",,,,way
"Allée de Peyras",,,,way
"Allée de Potus",,,,way
"Allée de Prouillata",,,,way
"Allée de Ségure",,,,way
"Allée de Tauzin",,,,way
"Allée de Vicq",,,,way
"Allée de la Brasserie",,,,way
"Allée de la Floride",,,,way
"Allée de la Fontaine de Bernin",,,,way
"Allée de la Fontaine de Vignau",,,,way
"Allée de la Glacière",,,,way
"Allée de la Pièce Noyée",,,,way
"Allée de la Poterne",,,,way
"Allée des Cordiers",,,,way
"Allée des Fontaines",,,,way
"Allée des Hauts de Saint-Hubert",,,,way
"Allée des Tarrides",,,,way
"Allée du Bois des Violettes",,,,way
"Allée du Grand Paradis",,,,way
"Allée du Petit Basque",,,,way
"Allée du Petit Hargous",,,,way
"Allée du Petit Jeanguinan",,,,way
"Allée du Ruisseau du Pont de Pierre",,,,way
"Ancien Chemin de Loung",,,,way
"Autoroute de la Côte Basque",,,,way
"Autoroute des Landes",,,,way
"Avenue Arribe Labourd",,,,way
"Avenue Beaulieu",,,,way
"Avenue Capitaine Resplandy",,,,way
"Avenue Diesse",,,,way
"Avenue Hiriart",,,,way
"Avenue Interne Jacques Loeb",,,,way
"Avenue Jean Darrigrand",,,,way
"Avenue Joseph Pinatel",,,,way
"Avenue Lafontaine",,,,way
"Avenue Lahubiague",,,,way
"Avenue Lieutenant Colonel de Lassalle",,,,way
"Avenue Marthe Jan",,,,way
"Avenue Monseigneur Gieure",,,,way
"Avenue Raymond de Martres",,,,way
"Avenue Roger Maylie",,,,way
"Avenue Sergent Capmas",,,,way
"Avenue Sous-Lieutenant Iribarne",,,,way
"Avenue Toki Eder",,,,way
"Avenue Truc de Moy",,,,way
"Avenue Vital Biraben",,,,way
"Avenue d'Ilbarritz",,,,way
"Avenue de Beyris",,,,way
"Avenue de Bourroua",,,,way
"Avenue de Camayou",,,,way
"Avenue de Cambo",,,,way
"Avenue de Coumères",,,,way
"Avenue de Lamothe",,,,way
"Avenue de Marhum",,,,way
"Avenue de Mounédé",,,,way
"Avenue de Plantoun",,,,way
"Avenue de Raspure",,,,way
"Avenue de Rossi",,,,way
"Avenue de Sainte-Croix",,,,way
"Avenue de la Division Leclerc",,,,way
"Avenue de la Légion Tchèque",,,,way
"Avenue des Parachutistes SAS",,,,way
"Avenue des Prés",,,,way
"Avenue des Tilleuls",,,,way
"Avenue des Vallons",,,,way
"Avenue du 14 Avril 1814",,,,way
"Avenue du 7 Août 1951",,,,way
"Avenue du Banc Saint-Bernard",,,,way
"Avenue du Bayle",,,,way
"Avenue du Grand Basque",,,,way
"Avenue du Prissé",,,,way
"Bayonne Pont Grenet",,,,way
"Boulevard Jacques Duclos",,,,way
"Boulevard Jean d'Amou",,,,way
"Boulevard du BAB",,,,way
"Boulevard du Rempart Lachepaillet",,,,way
"Carrefour Henri Arbeletche",,,,way
"Carrefour Saint-Léon",,,,way
"Chemin Abbé Edouard Cestac",,,,way
"Chemin Aitaxuri",,,,relation+way
"Chemin Errobi Alde",,,,way
"Chemin Oelh de la Houn",,,,way
"Chemin Pinède",,,,way
"Chemin d'Amade",,,,way
"Chemin d'Ansot",,,,way
"Chemin d'Arancette",,,,way
"Chemin d'Arans",,,,way
"Chemin d'Estebot",,,,way
"Chemin d'Etchéverry",,,,way
"Chemin d'Ibos",,,,way
"Chemin de Bellevue",,,,way
"Chemin de Campagne",,,,way
"Chemin de Cazenave",,,,way
"Chemin de Chala",,,,way
"Chemin de Chauron",,,,way
"Chemin de Clairoun de Bas",,,,way
"Chemin de Clairoun de Haut",,,,way
"Chemin de Compagnet",,,,way
"Chemin de Crouzades",,,,way
"Chemin de Fortune",,,,way
"Chemin de Frais",,,,way
"Chemin de Garinde",,,,way
"Chemin de Halage",,,,relation
"Chemin de Halage de la Nive",,,,way
"Chemin de Hamboum",,,,way
"Chemin de Hargous",,,,way
"Chemin de Hausses",,,,way
"Chemin de Hayet",,,,way
"Chemin de Jacquemin",,,,way
"Chemin de Jacquette",,,,way
"Chemin de Jupiter",,,,way
"Chemin de Laborde",,,,way
"Chemin de Lachiste",,,,way
"Chemin de Laduché",,,,way
"Chemin de Laguironde",,,,way
"Chemin de Laharie",,,,way
